id,inputMask,inputPattern,outputMask,outputPattern
R258,Geschichte ####-,Geschichte JJJJ-,ab ####,ab JJJJ
R259,Geschichte -####,Geschichte -JJJJ,bis ####,bis JJJJ
R260,Geschichte #### - ####,Geschichte JJJJ - ZZZZ,####/####,JJJJ/ZZZZ
R261,Geschichte #### v.Chr.-####,Geschichte JJJJ v.Chr.-ZZZZ,-####/####,-JJJJ/ZZZZ
R262,Geschichte ###-###,Geschichte JJJ-ZZZ,0###/0###,0JJJ/0ZZZ
R263,Geschichte ###-####,Geschichte JJJ-ZZZZ,0###/####,0JJJ/ZZZZ
R264,Geschichte ####-####,Geschichte JJJJ-ZZZZ,####/####,JJJJ/ZZZZ
R265,Geschichte Anfänge-####,Geschichte Anfänge-JJJJ,bis ####,bis JJJJ
R266,Geschichte Anfänge-####,Geschichte Anfänge-JJJJ,bis ####,bis JJJJ
R267,"GG, ##. MM ####","GG, TT. MM JJJJ",####-##-##,JJJJ-MM-TT
R268,"GG, ##.##.####","GG, TT.MM.JJJJ",####-##-##,JJJJ-MM-TT
R269,Karolingisch,Karolingisch,0750/0911,0750/0911
R270,Klassizistisch,Klassizistisch,1770/1830,1770/1830
R271,Mitte ##. Jh.,Mitte JJ. Jh.,Mitte ##. Jahrhundert,Mitte JJ. Jahrhundert
R272,MM ? MM ####,MM ? YY JJJJ,####-##/####-##,JJJJ-MM/JJJJ-YY
R273,MM ####,MM JJJJ,####-##,JJJJ-MM
R274,MM #### ? MM ####,MM JJJJ ? YY ZZZZ,####-##/####-##,JJJJ-MM/ZZZZ-YY
R275,Nachgewiesen #### -,Nachgewiesen JJJJ -,ab ####,ab JJJJ
R276,Nachgewiesen ####(####) -,Nachgewiesen JJJJ(ZZZZ) -,ab ####,ab JJJJ
R277,Nachgewiesen ##.#### -,Nachgewiesen NN.JJJJ -,ab ####,ab JJJJ
R278,Nachgewiesen #.#### -,Nachgewiesen N.JJJJ -,ab ####,ab JJJJ
R279,Nr. #.#### -,Nr. N.JJJJ -,ab ####,ab JJJJ
R280,Ottonisch,Ottonisch,0936/1024,0936/1024
R281,Römisch,Römisch,-500/395,-500/395
R282,s.a. [####],s.a. [JJJJ],####,JJJJ
R283,s.a. [ca. ####-####],s.a. [ca. JJJJ-ZZZZ],um ####/um ####,um JJJJ/um ZZZZ
R284,s.a. [ca. ####],s.a. [ca. JJJJ],um ####,um JJJJ
R285,s.a. [nach ####],s.a. [nach JJJJ],nach ####,nach JJJJ
R286,s.a. [circa ####],s.a. [circa JJJJ],um ####,um JJJJ
R287,s.a. [zwischen #### u. ####],s.a. [zwischen JJJJ u. ZZZZ],####/####,JJJJ/ZZZZ
R288,Sozialgeschichte ####-####,Sozialgeschichte JJJJ-ZZZZ,####/####,JJJJ/ZZZZ
R289,-SS ####,-SS JJJJ,####,JJJJ
R290,um ###,um JJJ,um 0###,um 0JJJ
R291,um #### - ####,um JJJJ - ZZZZ,um ####/um ####,um JJJJ/um ZZZZ
R292,um ####-####,um JJJJ-ZZZZ,um ####/um ####,um JJJJ/um ZZZZ
R293,um ####/##,um JJJJ/ZZ,um ####/um ####,um JJJJ/um JJZZ
R294,um ####/####,um JJJJ/ZZZZ,um ####/um ####,um JJJJ/um ZZZZ
R295,#.#### - ###.####[?],Q.JJJJ - NNN.ZZZZ[?],um ####/um ####,um JJJJ/um ZZZZ
