input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
MM – MM ####,MM – YY JJJJ,März – Dez. 1949,MM – MM 1949,"####-##/####-##",JJJJ-MM/JJJJ-YY,1949-03/1949-12,1949-03-01/1949-12-31
MM #### – MM ####,MM JJJJ – YY ZZZZ,Sept. 1946 – Jan. 1947,MM 1946 – MM 1947,"####-##/####-##",JJJJ-MM/ZZZZ-YY,1946-09/1947-01,1946-09-01/1947-01-31
"##. – ##. MM ####",TT. – XX. MM JJJJ,16. – 17. März 1949,16. – 17. MM 1949,"####-##-##/####-##-##",JJJJ-MM-TT/JJJJ-MM-XX,1949-03-16/1949-03-17,1949-03-16/1949-03-17
"##-##-####",TT-MM-JJJJ,01-01-1900,01-01-1900,"####-##-##",JJJJ-MM-TT,1900-01-01,1900-01-01
"####,####,####","JJJJ,XXXX,ZZZZ","1894,1895,1896","1894,1895,1896","####/####",JJJJ/ZZZZ,1894/1896,1894-01-01/1896-12-31
"####,MM-####,MM","JJJJ,MM-ZZZZ,YY","2006,Juni-2010,Nov","2006,MM-2010,MM","####-##/####-##",JJJJ-MM/ZZZZ-YY,2006-06/2010-11,2006-06-01/2010-11-30
"#### – ####, ####","JJJJ – XXXX, ZZZZ","1947 – 1948, 1949","1947 – 1948, 1949","####/####",JJJJ/ZZZZ,1947/1949,1947-01-01/1949-12-31
"####, #### – ####","JJJJ, XXXX – ZZZZ","1945, 1947 – 1949","1945, 1947 – 1949","####/####",JJJJ/ZZZZ,1945/1949,1945-01-01/1949-12-31
"-####,##(MM)","-JJJJ,TT(MM)","-2011,01(März)","-2011,01(MM)",-####-##-##,-JJJJ-MM-TT,-2011-03-01,-2010-03-01/-2010-03-01
"-####,MM","-JJJJ,MM","-2010,Nov","-2010,MM",-####-##,-JJJJ-MM,-2010-11,-2009-11-01/-2009-11-30
